投资方所在城市,融资方所在城市
北京,重庆
北京,沈阳
北京,天津
上海,武汉
北京,哈尔滨
北京,武汉
北京,铜仁
上海,镇江
成都,深圳
南京,北京
昆明,大理白族自治州
上海,牡丹江
苏州,合肥
南京,嘉兴
南宁,钦州
石家庄,淄博
嘉兴,苏州
湖州,宁波
宁波,温州
宁波,天津
杭州,厦门
拉萨,厦门
银川,吴忠
北京,威海
北京,山南地区
北京,济宁
合肥,淮南
广州,长沙
广州,清远
广州,苏州
广州,中山
沈阳,天津
贵阳,北京
扬州,南京
镇江,上海
南昌,赣州
天津,芜湖
上海,无锡
深圳,广州
北京,天津
北京,成都
金华,北京
北京,深圳
北京,嘉兴
长沙,衡阳
苏州,六安
苏州,淮安
常州,无锡
无锡,南京
南京,淮安
潍坊,青岛
成都,眉山
深圳,赣州
沈阳,铁岭
上海,南京
武汉,黄冈
苏州,深圳
烟台,青岛
北京,武汉
佛山,深圳
深圳,苏州
广州,北京
广州,深圳
北京,南京
深圳,上海
天津,北京
上海,北京
北京,青岛
北京,深圳
深圳,上海
上海,深圳
上海,南京
北京,唐山
太原,晋中
乌鲁木齐,伊犁哈萨克自治州
苏州,无锡
南京,镇江
西安,榆林
青岛,威海
济南,德州
济南,烟台
济南,潍坊
秦皇岛,沈阳
杭州,金华
哈尔滨,齐齐哈尔
潍坊,青岛
北京,厦门
北京,烟台
佛山,深圳
广州,武汉
深圳,合肥
上海,沈阳
上海,西安
厦门,漳州
郑州,北京
上海,苏州
上海,南京
北京,珠海
上海,天津
北京,广州
北京,贵阳
上海,郑州
重庆,北京
广州,伊犁哈萨克自治州
杭州,长沙
福州,北京
北京,廊坊
北京,嘉兴
北京,常州
北京,烟台
济南,上海
上海,南昌
武汉,北京
北京,合肥
北京,苏州
上海,南昌
上海,合肥
上海,无锡
北京,太原
北京,济南
合肥,阜阳
广州,佛山
广州,东莞
广州,太原
深圳,杭州
南通,上海
武汉,宜昌
上海,深圳
北京,嘉兴
北京,宁波
北京,青岛
深圳,上海
北京,宁波
深圳,东莞
武汉,深圳
杭州,舟山
拉萨,上海
北京,昆明
北京,随州
北京,福州
北京,潍坊
北京,长沙
北京,银川
上海,无锡
北京,西安
拉萨,张家口
北京,枣庄
北京,合肥
北京,哈尔滨
天津,北京
北京,唐山
北京,沈阳
杭州,绍兴
杭州,上海
上海,南京
北京,长沙
北京,武汉
北京,哈尔滨
北京,济宁
珠海,广州
深圳,长沙
深圳,武汉
深圳,郑州
深圳,兰州
北京,天津
北京,上海
南京,南通
南京,苏州
杭州,湖州
杭州,台州
北京,威海
北京,昆明
北京,拉萨
北京,长春
北京,兰州
合肥,上海
珠海,北京
厦门,福州
长沙,上海
石家庄,北京
佛山,广州
绍兴,杭州
湖州,北京
宁波,苏州
杭州,宁波
东莞,深圳
上海,福州
新余,深圳
九江,广州
成都,上海
青岛,北京
天津,成都
杭州,上海
上海,郑州
上海,无锡
上海,湖州
杭州,宁波
北京,承德
北京,唐山
南宁,柳州
北京,广州
北京,南京
杭州,宁波
东莞,深圳
拉萨,北京
上海,福州
上海,厦门
北京,武汉
北京,太原
南京,上海
青岛,北京
昆明,昭通
上海,蚌埠
上海,六安
郑州,开封
苏州,嘉兴
苏州,成都
苏州,常州
苏州,南京
无锡,新余
南京,淮安
南京,芜湖
南京,常州
西安,渭南
西安,咸阳
南宁,梧州
青岛,嘉兴
石家庄,天津
宁波,长沙
宁波,金华
宁波,武汉
杭州,济南
拉萨,珠海
拉萨,佛山
拉萨,湖州
银川,北京
北京,邯郸
北京,邢台
北京,西宁
北京,洛阳
北京,延安
合肥,宿州
广州,武汉
长春,吉林
大连,上海
武汉,广州
南昌,宁波
宜春,北京
北京,上海
宁波,上海
北京,深圳
北京,成都
北京,南京
深圳,广州
淄博,滨州
北京,上海
北京,深圳
深圳,北京
苏州,湖州
西安,深圳
杭州,衢州
湘潭,长沙
北京,德州
北京,保定
北京,西安
深圳,长沙
上海,武汉
上海,北京
上海,烟台
绍兴,杭州
宁波,上海
北京,广州
惠州,深圳
上海,南京
北京,武汉
北京,成都
北京,上海
北京,深圳
杭州,上海
上海,深圳
北京,武汉
北京,武汉
合肥,芜湖
杭州,深圳
上饶,芜湖
成都,深圳
西安,渭南
北京,上海
宁波,舟山
伊春,绥化
上海,泰州
上海,天津
北京,济南
深圳,上海
深圳,苏州
济南,德州
南京,滁州
南京,合肥
西安,咸阳
西安,宝鸡
南宁,上海
青岛,深圳
济南,济宁
济南,上海
杭州,绍兴
成都,重庆
成都,杭州
北京,沧州
北京,福州
北京,赤峰
长沙,岳阳
长沙,邵阳
珠海,广州
广州,江门
深圳,珠海
上海,郑州
上海,连云港
重庆,深圳
武汉,长沙
深圳,成都
北京,上海
成都,北京
广州,北京
广州,上海
武汉,深圳
北京,大连
南京,上海
上海,温州
上海,无锡
北京,金华
北京,合肥
北京,苏州
苏州,上海
深圳,成都
长沙,上海
上海,太原
上海,淮安
上海,大连
深圳,昆明
深圳,苏州
广州,长沙
广州,重庆
杭州,舟山
杭州,西安
成都,武汉
北京,银川
北京,金华
北京,哈尔滨
北京,洛阳
北京,盐城
北京,芜湖
苏州,无锡
无锡,南京
南京,杭州
南京,成都
厦门,泉州
深圳,上海
南京,北京
深圳,长沙
北京,伊犁哈萨克自治州
上海,苏州
上海,济南
北京,长沙
北京,武汉
北京,大连
合肥,滁州
广州,成都
深圳,武汉
深圳,南昌
深圳,成都
深圳,珠海
杭州,上海
郑州,洛阳
南通,苏州
苏州,无锡
上海,宁波
上海,苏州
深圳,成都
杭州,上海
上海,宁波
上海,北京
喀什地区,北京
拉萨,北京
珠海,深圳
深圳,南宁
广州,北京
宁波,上海
拉萨,海口
喀什地区,南京
北京,黄山
北京,珠海
北京,赣州
北京,徐州
北京,无锡
北京,乌鲁木齐
北京,娄底
北京,伊犁哈萨克自治州
苏州,宁波
南京,上海
上海,成都
上海,厦门
北京,成都
北京,苏州
北京,南京
北京,重庆
北京,武汉
北京,石家庄
北京,哈尔滨
北京,广州
北京,宁波
北京,保定
北京,长春
杭州,衢州
上海,成都
北京,南京
北京,常州
北京,郑州
北京,济南
深圳,南昌
深圳,淮安
深圳,西安
深圳,青岛
杭州,金华
杭州,嘉兴
拉萨,青岛
拉萨,上海
苏州,上海
南京,伊犁哈萨克自治州
宁波,上海
上海,哈尔滨
上海,福州
上海,盐城
上海,沈阳
上海,厦门
上海,济南
杭州,金华
杭州,深圳
北京,朝阳
北京,南宁
珠海,广州
深圳,福州
深圳,大连
深圳,天津
深圳,南昌
深圳,苏州
深圳,西安
舟山,北京
金华,杭州
杭州,绍兴
上海,长沙
上海,青岛
南通,上海
大连,北京
西安,北京
上海,青岛
杭州,湖州
上海,合肥
上海,深圳
上海,西安
深圳,东莞
深圳,苏州
深圳,青岛
开封,郑州
北京,贵阳
北京,厦门
北京,黔南布依族苗族自治州
北京,银川
佛山,深圳
深圳,成都
天津,北京
合肥,北京
深圳,广州
宜春,北京
成都,北京
北京,长沙
北京,广州
北京,郑州
无锡,北京
上海,绍兴
上海,南京
西安,北京
天津,上海
昆明,文山壮族苗族自治州
昆明,保山
上海,黄山
上海,宣城
上海,淮南
上海,宁德
上海,衢州
郑州,商丘
无锡,杭州
南京,盐城
黔西南布依族苗族自治州,贵阳
盐城,上海
南宁,百色
南宁,防城港
青岛,潍坊
保定,北京
张家口,北京
石家庄,邢台
石家庄,深圳
石家庄,太原
绍兴,嘉兴
金华,北京
嘉兴,青岛
宁波,南昌
宁波,湖州
杭州,无锡
杭州,伊犁哈萨克自治州
杭州,天津
乌鲁木齐,喀什地区
拉萨,蚌埠
北京,菏泽
北京,牡丹江
北京,黄冈
合肥,亳州
广州,江门
广州,肇庆
广州,福州
广州,南宁
深圳,泉州
深圳,鹰潭
台州,杭州
大连,沈阳
贵阳,六盘水
重庆,宁波
武汉,成都
南昌,武汉
三亚,海口
海口,三亚
伊犁哈萨克自治州,济南
天津,合肥
上海,苏州
广州,北京
北京,海口
北京,深圳
深圳,上海
苏州,西安
无锡,常州
齐齐哈尔,哈尔滨
北京,临沂
北京,常州
北京,成都
北京,泰安
合肥,六安
汕头,深圳
深圳,宁波
深圳,河源
深圳,常州
深圳,无锡
长春,青岛
上海,温州
上海,台州
上海,天津
上海,北京
苏州,广州
绍兴,上海
北京,成都
廊坊,北京
深圳,成都
台州,上海
天津,北京
深圳,武汉
北京,杭州
北京,重庆
青岛,北京
杭州,北京
上海,北京
无锡,北京
杭州,上海
北京,杭州
淄博,上海
北京,郑州
北京,西安
成都,凉山彝族自治州
巴音郭楞蒙古自治州,阿克苏地区
北京,张家口
西安,宝鸡
无锡,上海
上海,广州
上海,北京
上海,杭州
上海,青岛
北京,德州
深圳,广州
郑州,开封
青岛,潍坊
达州,成都
北京,天津
昆明,襄阳
太原,忻州
乌鲁木齐,喀什地区
郑州,新乡
郑州,青岛
苏州,南京
南京,无锡
西安,商洛
青岛,烟台
济南,临沂
石家庄,北京
秦皇岛,重庆
杭州,北京
成都,凉山彝族自治州
成都,泸州
成都,北京
北京,乌鲁木齐
北京,银川
临沂,青岛
合肥,安庆
天津,青岛
深圳,南昌
深圳,西安
深圳,济南
大连,上海
上海,石家庄
上海,安庆
上海,台州
上海,常州
重庆,昆明
武汉,宜昌
武汉,深圳
厦门,深圳
南昌,上海
北京,武汉
北京,杭州
广州,北京
广州,深圳
厦门,泉州
杭州,深圳
上海,深圳
广州,上海
重庆,青岛
杭州,金华
太原,深圳
福州,莆田
厦门,上海
成都,深圳
北京,郑州
北京,南宁
大连,北京
达州,成都
潍坊,青岛
北京,深圳
北京,常州
北京,杭州
北京,济南
深圳,武汉
深圳,南宁
上海,成都
上海,无锡
上海,绍兴
合肥,杭州
珠海,北京
广州,东莞
广州,珠海
绍兴,杭州
杭州,温州
哈尔滨,北京
北京,徐州
苏州,杭州
天津,深圳
南京,徐州
厦门,上海
青岛,北京
北京,上海
深圳,重庆
深圳,赣州
宁波,上海
成都,北京
成都,深圳
北京,乌鲁木齐
北京,武汉
北京,大连
南京,上海
上海,嘉兴
上海,成都
杭州,宁波
石家庄,保定
上海,北京
北京,石家庄
北京,大庆
深圳,长沙
深圳,苏州
杭州,温州
福州,北京
福州,泉州
郑州,开封
郑州,深圳
南昌,赣州
常州,苏州
厦门,泉州
广州,北京
武汉,深圳
北京,杭州
北京,芜湖
南京,上海
济南,青岛
北京,定西
北京,青岛
深圳,西安
北京,成都
深圳,上海
淮北,上海
广州,珠海
福州,深圳
上海,厦门
宁波,北京
石家庄,深圳
深圳,芜湖
杭州,深圳
喀什地区,北京
北京,芜湖
北京,荆门
北京,郑州
北京,自贡
北京,厦门
北京,郴州
北京,烟台
上海,舟山
上海,温州
上海,武汉
青岛,上海
杭州,北京
北京,郑州
北京,深圳
北京,潍坊
北京,保定
北京,昆明
北京,太原
上海,北京
上海,南通
济南,济宁
北京,昆明
北京,大连
北京,长沙
北京,石家庄
北京,沧州
北京,太原
北京,苏州
杭州,嘉兴
上海,武汉
上海,青岛
南京,苏州
南京,上海
北京,呼和浩特
北京,新余
广州,深圳
深圳,北京
北京,邯郸
北京,承德
北京,张家口
北京,菏泽
北京,唐山
北京,廊坊
北京,合肥
北京,上饶
北京,南通
深圳,南京
宁波,杭州
杭州,苏州
拉萨,北京
上海,合肥
上海,镇江
上海,泰州
新余,深圳
南京,无锡
北京,石家庄
北京,青岛
北京,锡林郭勒盟
北京,乌兰察布
北京,揭阳
济南,德州
昆明,曲靖
青岛,上海
北京,重庆
北京,呼和浩特
深圳,珠海
深圳,惠州
大理白族自治州,昆明
福州,上海
厦门,北京
深圳,东莞
金华,上海
宁波,深圳
杭州,天津
杭州,成都
福州,上海
萍乡,北京
宜春,广州
北京,海口
北京,昆明
北京,太原
北京,福州
北京,喀什地区
南京,伊犁哈萨克自治州
青岛,上海
天津,杭州
上海,嘉兴
深圳,长沙
深圳,合肥
深圳,珠海
嘉兴,南京
北京,张家口
北京,杭州
北京,三亚
厦门,泉州
北京,杭州
北京,福州
北京,郑州
上海,武汉
上海,成都
郑州,深圳
苏州,上海
南京,上海
厦门,福州
深圳,武汉
萍乡,北京
北京,重庆
北京,哈尔滨
北京,苏州
苏州,上海
上海,常州
太原,大同
太原,深圳
上海,日照
苏州,湖州
苏州,南通
无锡,苏州
西安,铜川
济南,滨州
济南,淄博
济南,上海
济南,深圳
石家庄,宁波
绍兴,北京
嘉兴,宿迁
温州,北京
杭州,福州
烟台,湖州
烟台,济南
潍坊,北京
鄂尔多斯,北京
成都,昆明
成都,凉山彝族自治州
成都,青岛
聊城,北京
长沙,常德
长沙,新余
北京,沧州
北京,孝感
北京,锡林郭勒盟
北京,上饶
北京,安阳
北京,扬州
北京,萍乡
北京,十堰
北京,襄阳
北京,宜昌
北京,桂林
北京,东营
北京,中山
合肥,宣城
合肥,马鞍山
广州,梅州
广州,惠州
广州,拉萨
广州,宜春
广州,南京
深圳,上饶
深圳,宜春
长春,上海
沈阳,宁波
沈阳,深圳
沈阳,大连
中山,珠海
重庆,西安
武汉,长沙
武汉,荆州
福州,杭州
泉州,深圳
萍乡,深圳
天津,拉萨
上海,宁波
上海,成都
广州,北京
深圳,东莞
北京,宁波
北京,苏州
北京,合肥
北京,成都
北京,杭州
南京,苏州
天津,北京
天津,伊犁哈萨克自治州
长春,吉林
长沙,益阳
无锡,泰州
无锡,上海
南京,青岛
南京,盐城
济南,临沂
济南,济宁
嘉兴,杭州
杭州,上海
成都,青岛
北京,苏州
珠海,宁波
佛山,深圳
广州,佛山
深圳,吉安
深圳,中山
深圳,西安
深圳,青岛
上海,合肥
上海,杭州
上海,徐州
上海,青岛
银川,吴忠
武汉,孝感
温州,上海
天津,唐山
天津,苏州
上海,宁波
杭州,宁波
成都,上海
北京,石家庄
北京,深圳
芜湖,上海
珠海,深圳
佛山,广州
深圳,武汉
重庆,深圳
武汉,深圳
厦门,深圳
泉州,厦门
珠海,北京
广州,上海
深圳,南京
北京,济南
北京,伊犁哈萨克自治州
石家庄,北京
哈尔滨,北京
漳州,厦门
南通,上海
青岛,上海
烟台,北京
金华,杭州
宁波,上海
南通,上海
苏州,深圳
北京,合肥
北京,重庆
呼和浩特,包头
北京,唐山
深圳,长沙
深圳,成都
苏州,上海
上海,大连
青岛,上海
上海,马鞍山
上海,湖州
上海,徐州
北京,苏州
北京,南京
深圳,中山
深圳,青岛
广州,佛山
杭州,金华
郑州,许昌
南京,镇江
乌鲁木齐,伊犁哈萨克自治州
青岛,烟台
昆明,大理白族自治州
昆明,曲靖
昆明,保山
郑州,南阳
郑州,许昌
苏州,深圳
无锡,苏州
南京,盐城
黔东南苗族侗族自治州,贵阳
青岛,临沂
青岛,济南
青岛,北京
淄博,济南
石家庄,邢台
石家庄,保定
石家庄,秦皇岛
温州,上海
杭州,衢州
杭州,温州
哈尔滨,黑河
哈尔滨,深圳
烟台,青岛
成都,拉萨
成都,南京
成都,宜宾
北京,保定
北京,信阳
北京,鄂尔多斯
北京,徐州
北京,泰安
合肥,阜阳
合肥,芜湖
广州,重庆
广州,无锡
广州,西安
广州,南宁
广州,青岛
深圳,南京
深圳,福州
大连,北京
沈阳,大连
贵阳,黔东南苗族侗族自治州
贵阳,深圳
中山,上海
上海,绍兴
上海,温州
上海,长春
武汉,十堰
武汉,荆州
武汉,北京
东莞,广州
福州,南平
南昌,九江
海口,北京
北京,长沙
北京,西安
北京,南京
北京,广州
珠海,深圳
东莞,深圳
福州,北京
苏州,上海
南京,北京
深圳,南昌
济南,北京
广州,深圳
深圳,广州
上海,济南
泰安,深圳
上海,苏州
广州,北京
深圳,上海
长春,北京
广州,珠海
宁波,北京
杭州,湖州
太原,北京
厦门,北京
厦门,福州
郑州,深圳
长春,北京
成都,北京
北京,西安
北京,烟台
苏州,上海
大连,上海
上海,广州
西安,北京
济南,青岛
北京,廊坊
北京,青岛
北京,天津
北京,重庆
北京,大连
杭州,深圳
梅州,深圳
南京,上海
上海,昆明
上海,金华
上海,哈尔滨
上海,芜湖
珠海,深圳
深圳,太原
深圳,喀什地区
深圳,济南
广州,佛山
金华,杭州
宁波,杭州
杭州,上饶
杭州,郑州
杭州,济南
福州,泉州
郑州,上海
南昌,北京
成都,昆明
北京,承德
北京,保定
北京,海口
北京,温州
北京,拉萨
北京,扬州
北京,唐山
北京,贵阳
北京,潍坊
苏州,成都
苏州,南京
天津,成都
南京,扬州
南京,合肥
北京,厦门
宁波,北京
深圳,杭州
深圳,九江
杭州,湖州
北京,昆明
北京,厦门
北京,西安
苏州,上海
上海,北京
上海,南京
北京,长沙
兰州,陇南
北京,天津
长沙,衡阳
上海,盐城
北京,张家口
北京,昆明
北京,苏州
广州,惠州
广州,南宁
广州,珠海
深圳,北京
南通,南京
沈阳,深圳
杭州,宁波
上海,拉萨
成都,深圳
北京,滨州
北京,苏州
北京,嘉兴
杭州,成都
青岛,上海
杭州,深圳
深圳,北京
深圳,拉萨
深圳,珠海
深圳,天津
昆明,天津
宁波,北京
郑州,深圳
南昌,宁波
成都,杭州
成都,北京
北京,常德
北京,岳阳
北京,承德
北京,湘西土家族苗族自治州
北京,衡阳
北京,襄阳
北京,濮阳
北京,昌吉回族自治州
北京,十堰
北京,株洲
苏州,北京
大连,上海
上海,南昌
桂林,南宁
柳州,南宁
上海,北京
北京,德州
北京,唐山
北京,张家口
北京,武汉
北京,无锡
上海,无锡
北京,杭州
上海,苏州
北京,合肥
北京,南昌
北京,福州
北京,张家口
北京,福州
北京,鄂尔多斯
上海,广州
北京,石家庄
北京,厦门
北京,沈阳
成都,深圳
北京,重庆
北京,邢台
北京,太原
北京,扬州
北京,沈阳
深圳,芜湖
宁波,宿迁
宁波,北京
上海,德州
上海,温州
上海,杭州
上海,郑州
上海,成都
上海,沈阳
无锡,苏州
潍坊,青岛
北京,郑州
上海,南京
北京,宿州
北京,榆林
上海,广州
广州,深圳
上海,长沙
上海,舟山
南京,淮安
济南,青岛
杭州,温州
拉萨,成都
成都,眉山
成都,重庆
成都,德阳
成都,绵阳
成都,广州
北京,邯郸
北京,张家口
北京,合肥
深圳,合肥
深圳,重庆
深圳,南昌
深圳,西安
重庆,北京
厦门,上海
新余,北京
九江,北京
海口,北京
长沙,北京
深圳,大连
广州,杭州
嘉兴,深圳
湖州,上海
温州,上海
拉萨,深圳
上海,绍兴
上海,乌鲁木齐
上海,南昌
上海,厦门
上海,伊犁哈萨克自治州
新余,广州
九江,南昌
北京,烟台
深圳,北京
上海,成都
北京,苏州
上海,温州
珠海,沈阳
昆明,红河哈尼族彝族自治州
深圳,南京
深圳,大连
深圳,郴州
深圳,中山
嘉兴,郑州
嘉兴,北京
宁波,杭州
宁波,北京
杭州,厦门
北京,长沙
北京,合肥
北京,苏州
天津,北京
天津,上海
北京,重庆
北京,嘉兴
北京,青岛
深圳,宁波
深圳,重庆
武汉,深圳
拉萨,深圳
天津,上海
珠海,上海
嘉兴,上海
上海,重庆
上海,广州
昆明,拉萨
昆明,上海
昆明,玉溪
上海,菏泽
上海,阜阳
上海,泉州
上海,喀什地区
上海,淮安
上海,桂林
上海,淄博
南通,北京
常州,杭州
常州,深圳
南京,扬州
南京,合肥
西安,宁波
南宁,玉林
青岛,宁波
青岛,天津
济南,菏泽
济南,杭州
石家庄,秦皇岛
石家庄,西安
石家庄,济南
石家庄,枣庄
承德,北京
沧州,北京
衢州,北京
衢州,杭州
嘉兴,天津
杭州,海口
杭州,西安
乌鲁木齐,博尔塔拉蒙古自治州
乌鲁木齐,阿克苏地区
拉萨,舟山
拉萨,合肥
拉萨,青岛
呼和浩特,阿拉善盟
成都,广州
成都,嘉兴
成都,南充
成都,巴中
成都,雅安
长沙,湘潭
长沙,武汉
北京,泰安
北京,聊城
合肥,阜阳
芜湖,深圳
广州,湛江
深圳,衡阳
深圳,廊坊
深圳,绍兴
深圳,温州
深圳,肇庆
深圳,太原
深圳,镇江
深圳,呼和浩特
深圳,遵义
深圳,桂林
大连,嘉兴
大连,天津
沈阳,上海
贵阳,遵义
武汉,襄阳
武汉,杭州
东莞,珠海
福州,漳州
厦门,鹰潭
三亚,北京
伊犁哈萨克自治州,杭州
伊犁哈萨克自治州,天津
天津,成都
天津,伊犁哈萨克自治州
北京,天津
上海,深圳
杭州,金华
拉萨,北京
宜春,北京
北京,长沙
北京,上海
广州,深圳
北京,上海
南京,武汉
南京,南昌
金华,伊犁哈萨克自治州
金华,上海
北京,苏州
南京,上海
天津,伊犁哈萨克自治州
杭州,北京
北京,合肥
北京,昆明
北京,宁波
湘西土家族苗族自治州,长沙
长沙,株洲
长沙,岳阳
运城,西安
太原,晋中
乌鲁木齐,阿克苏地区
苏州,滁州
苏州,合肥
苏州,泰州
苏州,徐州
常州,苏州
南京,镇江
宁波,台州
杭州,金华
烟台,青岛
辽阳,营口
成都,西安
成都,南宁
益阳,长沙
北京,合肥
北京,芜湖
北京,重庆
北京,青岛
北京,潍坊
合肥,淮南
合肥,上海
深圳,南昌
长春,四平
上海,德州
上海,金华
重庆,成都
福州,三明
福州,南平
厦门,泉州
南昌,吉安
西安,榆林
上海,杭州
上海,湖州
上海,南通
徐州,上海
南京,北京
烟台,上海
保定,北京
金华,杭州
嘉兴,绍兴
宁波,杭州
成都,深圳
北京,西安
深圳,惠州
抚顺,沈阳
泰州,上海
西安,北京
石家庄,北京
深圳,广州
汕头,深圳
郑州,北京
天津,北京
济南,青岛
北京,深圳
长沙,北京
北京,天津
廊坊,北京
广州,北京
郑州,北京
汕头,深圳
温州,杭州
呼和浩特,北京
成都,北京
北京,成都
南京,深圳
北京,石家庄
北京,哈尔滨
保山,大理白族自治州
东莞,深圳
鹰潭,赣州
海口,深圳
西安,深圳
北京,上海
济南,青岛
北京,广州
深圳,北京
银川,吴忠
上海,武汉
上海,北京
天津,上海
天津,深圳
上海,滁州
上海,芜湖
上海,金华
上海,台州
上海,扬州
上海,镇江
上海,成都
北京,上海
广州,清远
杭州,衢州
杭州,宁波
郑州,洛阳
郑州,商丘
郑州,南阳
济南,聊城
济南,济宁
长沙,湘潭
深圳,广州
郑州,洛阳
郑州,驻马店
郑州,北京
兰州,定西
苏州,盐城
南京,扬州
南京,淮安
南京,深圳
泉州,上海
西安,银川
淄博,青岛
济南,聊城
济南,滨州
石家庄,唐山
石家庄,沧州
秦皇岛,武汉
秦皇岛,西安
黄山,上海
宁波,绍兴
宁波,深圳
杭州,合肥
杭州,台州
杭州,成都
杭州,沈阳
哈尔滨,鸡西
拉萨,成都
潍坊,济南
呼和浩特,包头
成都,广元
成都,乐山
北京,衡水
北京,温州
北京,洛阳
北京,潍坊
北京,海口
长沙,湘潭
合肥,六安
天津,唐山
马鞍山,南京
汕头,上海
广州,东莞
广州,郑州
深圳,昆明
深圳,沈阳
深圳,天津
深圳,南宁
贵阳,遵义
上海,乌鲁木齐
上海,昆明
上海,舟山
上海,泰州
上海,盐城
重庆,绵阳
武汉,孝感
武汉,恩施土家族苗族自治州
清远,广州
福州,深圳
福州,厦门
厦门,北京
南昌,上饶
南昌,宜春
南昌,吉安
宜春,深圳
广州,上海
杭州,上海
成都,上海
深圳,杭州
大连,北京
上海,无锡
北京,上海
深圳,惠州
广州,深圳
深圳,广州
青岛,上海
广州,佛山
深圳,合肥
重庆,上海
绍兴,杭州
杭州,北京
西宁,北京
福州,深圳
厦门,漳州
长春,深圳
北京,重庆
北京,南京
上海,厦门
青岛,上海
北京,上海
北京,南京
广州,北京
成都,深圳
深圳,珠海
上海,杭州
上海,昆明
长沙,广州
石家庄,北京
上海,张家口
上海,舟山
上海,乌鲁木齐
合肥,上海
合肥,深圳
重庆,上海
深圳,绍兴
深圳,惠州
深圳,厦门
深圳,中山
广州,杭州
广州,南京
广州,中山
杭州,重庆
杭州,绍兴
福州,深圳
郑州,深圳
成都,西安
成都,广州
绵阳,成都
北京,临沂
北京,上饶
南京,盐城
西安,深圳
贵阳,北京
济南,德州
深圳,上海
无锡,北京
重庆,北京
宁波,北京
杭州,绍兴
杭州,金华
杭州,成都
拉萨,珠海
北京,石家庄
无锡,上海
南京,北京
上海,南昌
上海,芜湖
上海,广州
青岛,深圳
深圳,北京
广州,佛山
北京,广州
北京,郑州
南宁,广州
北京,上海
北京,上海
石家庄,廊坊
长沙,娄底
上海,南通
北京,广州
北京,无锡
北京,沈阳
北京,西安
合肥,蚌埠
合肥,芜湖
广州,清远
深圳,宁波
深圳,青岛
重庆,青岛
郑州,商丘
南昌,武汉
成都,西安
海口,三亚
南京,镇江
营口,大连
